type,wgl,date,loc,vip,price
奥迪A5 2022款 Coupe 40 TFSI 时尚动感型,0.01,2023/7/1,广州,3年钻石会员,34.98
奔驰E级(进口) 2020款 E 260 轿跑车,1.5,2020/11/1,重庆,12年黄金会员,38.98
宝马3系 2021款 改款 325i M运动套装,2.3,2021/9/1,长沙,10年钻石会员,24.98
兰德酷路泽(进口) 2016款 4.0L 自动,11,2017/1/1,长春,10年钻石会员,54.5
保时捷718 2019款 Boxster T 2.0T,1.2,2020/4/1,沈阳,7年黄金会员,56.8
奥迪Q2L 2020款 35 TFSI 时尚致雅型,2.1,2020/12/1,石家庄,2年钻石会员,13.4
宝马iX 2022款 xDrive50,0.7,2022/1/1,广州,9年钻石会员,54.8
宝马3系(进口) 2012款 318i领先型,11,2012/3/1,无锡,2年黄金会员,4.98
奥迪A6L 2023款 45 TFSI 臻选动感型,1.2,2023/1/1,石家庄,2年钻石会员,36.8
奥迪A4L 2023款 40 TFSI 豪华动感型,0.01,2023/6/1,石家庄,2年钻石会员,25.4
雷克萨斯RX 2020款 450hL 四驱尊贵版6座 国VI,5.3,2019/10/1,深圳,8年会员,53.98
埃尔法 2018款 3.5L 尊贵版,18.9,2017/12/1,深圳,8年会员,69.8
辉腾 2011款 4.2L V8 4座加长Individual版,11,2011/10/1,深圳,8年会员,23.38
揽胜运动版 2022款 3.0 L6 耀黑版,2.7,2021/11/1,石家庄,8年钻石会员,79.6
宝马X5 2022款 xDrive 40Li M运动套装,1.82,2022/6/1,石家庄,8年钻石会员,68.5
奔驰GLS 2020款 GLS 450 4MATIC 动感型,1.5,2021/7/1,郑州,9年钻石会员,99.5
奔驰S级 2022款 改款 S 400 L 豪华型,1.1,2022/6/1,郑州,9年钻石会员,93.8
福特F-150 2022款 3.5T 自动,2.8,2022/6/1,郑州,9年钻石会员,52.5
ID.4 CROZZ 2022款 长续航Lite PRO版,0.01, ,佛山,10年钻石会员,20.68
宝马5系 2019款 530Li 领先型 M运动套装,6.6,2019/6/1,广州,13年黑金会员,31.58
保时捷718 2020款 Boxster 2.0T,0.6,2021/1/1,沈阳,7年黄金会员,60.8
奔驰C级 2019款 C 260 运动版,6,2018/11/1,成都,2年黄金会员,19.98
凯迪拉克CT5 2021款 28T 豪华型,4.1,2021/5/1,成都,2年黄金会员,21.5
凯迪拉克CT5 2020款 28T 豪华型,5.8,2020/5/1,成都,2年黄金会员,19.8
捷豹XJ 2018款 XJL 3.0 SC 两驱典雅商务版,8,2018/1/1,深圳,6年会员,30.88
宝马5系 2020款 530Li 尊享型 豪华套装,5,2020/5/1,深圳,6年会员,35.8
途乐 2017款 4.0L 中东版,7.9,2017/9/1,深圳,6年会员,32.8
宝马6系GT 2018款 630i M运动套装,6.6,2018/11/1,深圳,6年会员,33.9
奔驰GLC 2019款 GLC 260 L 4MATIC 动感型,5,2020/1/1,北京,1年黄金会员,29.8
奔驰A级 2019款 A 200 L 运动轿车,1,2019/5/1,北京,1年黄金会员,16.8
奔驰GLC 2018款 GLC 260 4MATIC 豪华型,9,2018/1/1,北京,1年黄金会员,25.8
普瑞维亚 2007款 3.5L 7人座豪华型,22,2007/12/1,北京,1年黄金会员,13.8
雷克萨斯ES 2015款 200 精英版,5,2018/6/1,南京,4年会员,17.88
Cayenne 2019款 Cayenne 3.0T,9.4,2021/6/1,成都,2年黄金会员,79.9
Macan 2014款 Macan 2.0T,11,2015/1/1,成都,2年黄金会员,24.6
宝马5系 2018款 528Li 上市特别版,9.1,2018/2/1,成都,2年黄金会员,24.8
埃尔法 2021款 双擎 2.5L 尊贵版,7.4,2021/3/1,成都,2年黄金会员,93.8
宝马X7 2020款 xDrive40i 尊享型M运动套装,8.4,2020/7/1,成都,2年黄金会员,73.8
飞行家 2020款 3.0T V6 四驱尊享版,5,2021/1/1,成都,2年黄金会员,41.8
Panamera 2021款 Panamera 4 行政加长版 2.9T,3.8,2020/8/1,成都,2年黄金会员,99.98
揽胜 2020款 3.0 L6 传世加长版,7.2,2020/3/1,成都,2年黄金会员,128.8
古思特 2014款 6.6T 加长版,4.5,2014/9/1,成都,2年黄金会员,259
发现 2015款 3.0 SC V6 SE,8.31,2015/1/1,成都,2年黄金会员,36.8
红旗H6 2023款 2.0T 致臻版,0.01,2023/8/1,天津,1年黄金会员,18.58
途观 2017款 300TSI 自动两驱丝绸之路风尚版,6.36,2018/11/1,济南,11年钻石会员,8
奥迪A6L 2021款 40 TFSI 豪华致雅型,3.75,2021/7/1,济南,11年钻石会员,31.9
奔驰C级 2021款 C 260 星耀臻藏版,2.1,2021/3/1,苏州,3年黄金会员,25.38
宝马3系 2019款 320Li 时尚型,3.8,2019/3/1,北京,1年黄金会员,19.5
奥迪e-tron(进口) 2019款 55 quattro 时尚型,8.14,2020/6/1,杭州,13年钻石会员,24.6
奥迪A7 2020款 45 TFSI 臻选型,2.59,2021/1/1,杭州,13年钻石会员,47.6
奔驰S级 2022款 改款 S 400 L 商务型,1,2022/10/1,北京,2年黄金会员,84.8
奥迪e-tron(进口) 2019款 55 quattro 技术型,4.51,2020/7/1,杭州,13年钻石会员,27.2
捷豹XEL 2019款 2.0T 250PS 尊享版,1.9,2019/10/1,北京,1年黄金会员,16.8
埃尔法 2018款 3.5L 尊贵版,10.8,2018/2/1,唐山,3年黄金会员,75.8
锐界 2018款 EcoBoost 245 两驱豪锐型 7座 国VI,4.36,2019/3/1,唐山,1年钻石会员,15.8
T-ROC探歌 2020款 280TSI DSG两驱舒适型,2.4,2020/8/1,唐山,1年钻石会员,10.98
﻿奥迪A5 2022款 Coupe 40 TFSI 时尚动感型,0.01,2023/7/1,广州,3年钻石会员,34.98
奔驰E级(进口) 2020款 E 260 轿跑车,1.5,2020/11/1,重庆,12年黄金会员,38.98
宝马3系 2021款 改款 325i M运动套装,2.3,2021/9/1,长沙,10年钻石会员,24.98
兰德酷路泽(进口) 2016款 4.0L 自动,11,2017/1/1,长春,10年钻石会员,54.5
保时捷718 2019款 Boxster T 2.0T,1.2,2020/4/1,沈阳,7年黄金会员,56.8
奥迪Q2L 2020款 35 TFSI 时尚致雅型,2.1,2020/12/1,石家庄,2年钻石会员,13.4
宝马iX 2022款 xDrive50,0.7,2022/1/1,广州,9年钻石会员,54.8
宝马3系(进口) 2012款 318i领先型,11,2012/3/1,无锡,2年黄金会员,4.98
奥迪A6L 2023款 45 TFSI 臻选动感型,1.2,2023/1/1,石家庄,2年钻石会员,36.8
奥迪A4L 2023款 40 TFSI 豪华动感型,0.01,2023/6/1,石家庄,2年钻石会员,25.4
雷克萨斯RX 2020款 450hL 四驱尊贵版6座 国VI,5.3,2019/10/1,深圳,8年会员,53.98
埃尔法 2018款 3.5L 尊贵版,18.9,2017/12/1,深圳,8年会员,69.8
辉腾 2011款 4.2L V8 4座加长Individual版,11,2011/10/1,深圳,8年会员,23.38
揽胜运动版 2022款 3.0 L6 耀黑版,2.7,2021/11/1,石家庄,8年钻石会员,79.6
宝马X5 2022款 xDrive 40Li M运动套装,1.82,2022/6/1,石家庄,8年钻石会员,68.5
奔驰GLS 2020款 GLS 450 4MATIC 动感型,1.5,2021/7/1,郑州,9年钻石会员,99.5
奔驰S级 2022款 改款 S 400 L 豪华型,1.1,2022/6/1,郑州,9年钻石会员,93.8
福特F-150 2022款 3.5T 自动,2.8,2022/6/1,郑州,9年钻石会员,52.5
ID.4 CROZZ 2022款 长续航Lite PRO版,0.01, ,佛山,10年钻石会员,20.68
宝马5系 2019款 530Li 领先型 M运动套装,6.6,2019/6/1,广州,13年黑金会员,31.58
保时捷718 2020款 Boxster 2.0T,0.6,2021/1/1,沈阳,7年黄金会员,60.8
奔驰C级 2019款 C 260 运动版,6,2018/11/1,成都,2年黄金会员,19.98
凯迪拉克CT5 2021款 28T 豪华型,4.1,2021/5/1,成都,2年黄金会员,21.5
凯迪拉克CT5 2020款 28T 豪华型,5.8,2020/5/1,成都,2年黄金会员,19.8
捷豹XJ 2018款 XJL 3.0 SC 两驱典雅商务版,8,2018/1/1,深圳,6年会员,30.88
宝马5系 2020款 530Li 尊享型 豪华套装,5,2020/5/1,深圳,6年会员,35.8
途乐 2017款 4.0L 中东版,7.9,2017/9/1,深圳,6年会员,32.8
宝马6系GT 2018款 630i M运动套装,6.6,2018/11/1,深圳,6年会员,33.9
奔驰GLC 2019款 GLC 260 L 4MATIC 动感型,5,2020/1/1,北京,1年黄金会员,29.8
奔驰A级 2019款 A 200 L 运动轿车,1,2019/5/1,北京,1年黄金会员,16.8
奔驰GLC 2018款 GLC 260 4MATIC 豪华型,9,2018/1/1,北京,1年黄金会员,25.8
普瑞维亚 2007款 3.5L 7人座豪华型,22,2007/12/1,北京,1年黄金会员,13.8
雷克萨斯ES 2015款 200 精英版,5,2018/6/1,南京,4年会员,17.88
Cayenne 2019款 Cayenne 3.0T,9.4,2021/6/1,成都,2年黄金会员,79.9
Macan 2014款 Macan 2.0T,11,2015/1/1,成都,2年黄金会员,24.6
宝马5系 2018款 528Li 上市特别版,9.1,2018/2/1,成都,2年黄金会员,24.8
埃尔法 2021款 双擎 2.5L 尊贵版,7.4,2021/3/1,成都,2年黄金会员,93.8
宝马X7 2020款 xDrive40i 尊享型M运动套装,8.4,2020/7/1,成都,2年黄金会员,73.8
飞行家 2020款 3.0T V6 四驱尊享版,5,2021/1/1,成都,2年黄金会员,41.8
Panamera 2021款 Panamera 4 行政加长版 2.9T,3.8,2020/8/1,成都,2年黄金会员,99.98
揽胜 2020款 3.0 L6 传世加长版,7.2,2020/3/1,成都,2年黄金会员,128.8
古思特 2014款 6.6T 加长版,4.5,2014/9/1,成都,2年黄金会员,259
发现 2015款 3.0 SC V6 SE,8.31,2015/1/1,成都,2年黄金会员,36.8
红旗H6 2023款 2.0T 致臻版,0.01,2023/8/1,天津,1年黄金会员,18.58
途观 2017款 300TSI 自动两驱丝绸之路风尚版,6.36,2018/11/1,济南,11年钻石会员,8
奥迪A6L 2021款 40 TFSI 豪华致雅型,3.75,2021/7/1,济南,11年钻石会员,31.9
奔驰C级 2021款 C 260 星耀臻藏版,2.1,2021/3/1,苏州,3年黄金会员,25.38
宝马3系 2019款 320Li 时尚型,3.8,2019/3/1,北京,1年黄金会员,19.5
奥迪e-tron(进口) 2019款 55 quattro 时尚型,8.14,2020/6/1,杭州,13年钻石会员,24.6
奥迪A7 2020款 45 TFSI 臻选型,2.59,2021/1/1,杭州,13年钻石会员,47.6
奔驰S级 2022款 改款 S 400 L 商务型,1,2022/10/1,北京,2年黄金会员,84.8
奥迪e-tron(进口) 2019款 55 quattro 技术型,4.51,2020/7/1,杭州,13年钻石会员,27.2
捷豹XEL 2019款 2.0T 250PS 尊享版,1.9,2019/10/1,北京,1年黄金会员,16.8
埃尔法 2018款 3.5L 尊贵版,10.8,2018/2/1,唐山,3年黄金会员,75.8
锐界 2018款 EcoBoost 245 两驱豪锐型 7座 国VI,4.36,2019/3/1,唐山,1年钻石会员,15.8
T-ROC探歌 2020款 280TSI DSG两驱舒适型,2.4,2020/8/1,唐山,1年钻石会员,10.98
奥迪A3 2022款 A3L Limousine 35 TFSI 豪华运动型,1.3,2022/6/1,成都,9年黑金会员,17.38
保时捷911 2020款 Carrera 3.0T,2.47,2020/9/1,上海,4年黑金会员,109.8
揽胜运动版 2022款 3.0 L6 耀黑版,2.7,2021/11/1,石家庄,8年钻石会员,79.6
奔驰GLE 2023款 GLE 350 4MATIC 时尚型,0.5,2022/10/1,郑州,13年黑金会员,69.8
奔驰V级 2021款 V 260 L 长轴距豪华版,1.57,2022/1/1,石家庄,8年钻石会员,54.68
欧蓝德 2021款 2.4L 四驱致享版 7座,1.9,2022/2/1,石家庄,2年黄金会员,15.68
Cayenne 2019款 Cayenne 3.0T,3.3,2019/3/1,武汉,4年黑金会员,73.8
森林人 2016款 2.0i 豪华导航版,6.5,2016/7/1,常州,9年黄金会员,10.98
奥迪A6L 2018款 30周年年型 TFSI 进取型,6.3,2018/4/1,大连,11年钻石会员,21.98
奥迪Q2L 2021款 35 TFSI 进取动感型,2.2,2021/6/1,东莞,11年钻石会员,13.98
奔驰GLA 2016款 GLA 200 动感型,7.5,2016/8/1,厦门,8年黑金会员,10.8
奔驰E级 2018款 改款 E 200 L 运动型,8,2018/8/1,厦门,8年黑金会员,25.98
揽胜极光 2020款 249PS R-DYNAMIC SE 运动科技版,2.96,2021/3/1,石家庄,1年钻石会员,23.8
奔驰S级 2022款 改款 S 400 L 豪华型,0.95,2022/6/1,合肥,11年黑金会员,94.3
奔驰GLC 2019款 改款 GLC 260 L 4MATIC 豪华型,6.1,2019/10/1,上海,3年黄金会员,29.88
奔驰GLE 2016款 GLE 320 4MATIC 动感型,13.1,2016/10/1,西安,3年黄金会员,31.68
奔驰E级新能源 2022款 改款三 E 350 e L 插电式混合动力轿车,0.75,2022/12/1,厦门,8年黑金会员,39.98
奔驰E级 2021款 E 300 L 时尚型,3.5,2021/4/1,武汉,4年黑金会员,40.8
奔驰GLA AMG 2021款 AMG GLA 35 4MATIC,2.5,2021/8/1,厦门,8年黑金会员,26.98
Cayenne 2019款 3.0T 美规版,5,2020/5/1,武汉,1年黑金会员,72.8
宝马5系 2021款 530Li 领先型 M运动套装,2.85,2021/1/1,石家庄,1年钻石会员,37.9
ID.6 X 2021款 Pure 纯净版,3.3,2021/8/1,上海,13年钻石会员,14.8
宝马3系 2023款 325Li M运动曜夜套装,0.57,2023/3/1,合肥,11年黑金会员,32.9
奔驰GLE轿跑 AMG 2020款 AMG GLE 53 4MATIC+ 轿跑SUV,2.41,2021/8/1,青岛,11年黑金会员,84.5
Panamera 2017款 Panamera 3.0T,3.31,2018/9/1,青岛,11年黑金会员,77.8
坦克300 2021款 越野版 2.0T 征服者,1.3,2022/8/1,广州,2年黄金会员,20.58
AMG GT 2019款 AMG GT 53 4MATIC+ 四门跑车,1.25,2020/12/1,青岛,11年黑金会员,85.8
宝马5系 2022款 改款二 525Li M运动套装,0.05,2023/6/1,郑州,10年钻石会员,37.99
揽胜极光 2020款 249PS R-DYNAMIC S 运动版,3.39,2020/7/1,合肥,11年钻石会员,22.8
奔驰S级 2018款 S 450 L 4MATIC,6.7,2018/2/1,石家庄,3年钻石会员,75.8
宝马3系 2020款 改款 325Li M运动套装,4.76,2020/7/1,合肥,4年黑金会员,22.98
揽胜运动版 2020款 3.0 L6 SE,5.4,2020/6/1,济宁,2年会员,68.8
奔驰S级 2022款 改款 S 450 L 4MATIC,1.9,2022/7/1,青岛,11年黑金会员,105.8
奥迪RS 5 2020款 RS 5 2.9T Sportback,1.11,2021/3/1,淄博,11年黑金会员,62.88
Panamera 2014款 Panamera Executive 3.0T,12.25,2015/6/1,成都,12年黑金会员,43.5
奥迪e-tron(进口) 2021款 Sportback 55 quattro 臻选型,0.01,2023/5/1,北京,9年黄金会员,39.8
奥迪e-tron(进口) 2021款 Sportback 55 quattro 臻选型,0.01,2023/5/1,北京,9年黄金会员,39.8
宝马7系 2021款 740Li 领先型 M运动套装,1.31,2022/1/1,合肥,11年黑金会员,72.5
传祺M8 2023款 宗师系列 双擎 旗舰,2.54,2023/2/1,合肥,11年钻石会员,31.6
